TP_PROPERTY;SIF_OPIS;TP_CHARACTER;SIF_OPIS;CNT_NUMBER;CNT_VALUE;CNT_DATE;CNT_DESC
490;"VALORIZACIJA PO TEMELJNI OBRESTNI MERI";8630;"TP_NONRES_PONE_YES_NO";5;0;0;0
491;"NOMINALNA VALORIZACIJA";8631;"TP_NONRES_FAMMEM_YES_NO";5;0;0;0
492;"Special Drawing Rights";8632;"TP_NONRES_COWORK_YES_NO";5;0;0;0
940;"IRSKA";9013;"Signing identifier";0;0;0;323398
940;"IRSKA";9017;"Phone";0;0;0;355965
7741;"Telefon";7741;"Telefon";0;0;0;15
7741;"Telefon";7800;"Telefonska številka";0;0;0;1988408
7741;"Telefon";7801;"Omrežna skupina";0;0;0;1857162
7741;"Telefon";7802;"Vrsta telefona";1988383;0;0;169298
7741;"Telefon";7840;"Zaporedna številka lastnosti";1988407;0;0;1
7742;"Kontakt - email naslov";7803;"Email naslov";0;0;0;899421
7742;"Kontakt - email naslov";7840;"Zaporedna številka lastnosti";3930;0;0;0
7743;"Kontakt - spletni naslov";7804;"Spletni naslov";0;0;0;12257
7744;"Osebni dokument";7805;"Številka dokumenta";0;0;1;1404501
7744;"Osebni dokument";7806;"Vrsta dokumenta";1406089;0;1;0
7744;"Osebni dokument";7807;"Datum izdaje";0;0;676826;0
7744;"Osebni dokument";7808;"Konec veljavnosti";0;0;826667;0
7744;"Osebni dokument";8018;"Organ izdaje";0;0;1;1131342
7744;"Osebni dokument";8355;"Vzrok neizvedene osebne identifikacije";613671;0;0;242922
7744;"Osebni dokument";8963;"Država izdaje osebnega dokumenta";113955;0;0;0
7744;"Osebni dokument";9111;"Konec veljavnosti - Permanentno";1007291;0;0;0
7744;"Osebni dokument";9117;"Mesto izdaje";0;0;0;0
7745;"Zaposlitev - status";7809;"Status zaposlitve";3924;0;0;0
7746;"Zaposlitev - delovno mesto";7810;"Delovno mesto";0;0;0;1709
7747;"Zaposlitev - izobrazba";7811;"Stopnja izobrazbe";2862;0;0;0
7747;"Zaposlitev - izobrazba";7812;"Smer";0;0;0;5
7748;"Bonitetna kategorija";7813;"Bonitetna kategorija";1;0;0;0
7749;"Ocenjena kategorija";7814;"Ocenjena kategorija";1;0;0;0
7749;"Ocenjena kategorija";7815;"Razlaga oc. Kategorije";0;0;0;1
7767;"lastnost vracilo fakture";7768;"vrednost lastnosti vracila fakture";2299;0;0;1912
7773;"Hobi";7822;"Tip hobija";3209;0;0;0
7773;"Hobi";7823;"Opis hobija";0;0;0;0
7774;"Kontakt - kontaktna oseba";7824;"Kontaktna oseba";0;0;0;4840
